,mobile name,storage,processor,price
0,"ASUS ROG Phone II (Black, 128 GB)","<li class=""rgWa7D"">8 GB RAM | 128 GB ROM</li>","<li class=""rgWa7D"">Qualcomm Snapdragon 855 Plus Processor</li>","<div class=""_30jeq3 _1_WHN1"">₹40,999</div>"
1,"ASUS ROG 5s (Phantom Black, 256 GB)","<li class=""rgWa7D"">12 GB RAM | 256 GB ROM</li>","<li class=""rgWa7D"">Qualcomm Snapdragon 888 Plus (SM8350) Processor</li>","<div class=""_30jeq3 _1_WHN1"">₹57,999</div>"
2,"ASUS ROG 5s (Black, 128 GB)","<li class=""rgWa7D"">8 GB RAM | 128 GB ROM</li>","<li class=""rgWa7D"">Qualcomm Snapdragon 888 Plus (SM8350) Processor</li>","<div class=""_30jeq3 _1_WHN1"">₹49,999</div>"
3,"ASUS ROG 5s (Storm White, 128 GB)","<li class=""rgWa7D"">8 GB RAM | 128 GB ROM</li>","<li class=""rgWa7D"">Qualcomm Snapdragon 888 Plus (SM8350) Processor</li>","<div class=""_30jeq3 _1_WHN1"">₹49,999</div>"
4,"ASUS ROG Phone II (Black, 512 GB)","<li class=""rgWa7D"">12 GB RAM | 512 GB ROM</li>","<li class=""rgWa7D"">Qualcomm Snapdragon 855 Plus Processor</li>","<div class=""_30jeq3 _1_WHN1"">₹62,999</div>"
5,"ASUS ROG Phone 3 (Black, 128 GB)","<li class=""rgWa7D"">12 GB RAM | 128 GB ROM</li>","<li class=""rgWa7D"">Qualcomm Snapdragon 865+ (SM8250) Processor</li>","<div class=""_30jeq3 _1_WHN1"">₹49,999</div>"
6,"ASUS ROG Phone 5 (Black, 256 GB)","<li class=""rgWa7D"">12 GB RAM | 256 GB ROM</li>","<li class=""rgWa7D"">Qualcomm Snapdragon 888 (SM8350) Processor</li>","<div class=""_30jeq3 _1_WHN1"">₹57,999</div>"
7,"ASUS ROG (Black, 128 GB)","<li class=""rgWa7D"">8 GB RAM | 128 GB ROM</li>","<li class=""rgWa7D"">Qualcomm Speed-binned Snapdragon 845 Processor</li>","<div class=""_30jeq3 _1_WHN1"">₹83,999</div>"
8,"ASUS ROG Phone 3 (Black, 256 GB)","<li class=""rgWa7D"">12 GB RAM | 256 GB ROM</li>","<li class=""rgWa7D"">Qualcomm Snapdragon 865+ (SM8250) Processor</li>","<div class=""_30jeq3 _1_WHN1"">₹57,999</div>"
9,"ASUS ROG Phone 3 (Black, 128 GB)","<li class=""rgWa7D"">8 GB RAM | 128 GB ROM</li>","<li class=""rgWa7D"">Qualcomm Snapdragon 865+ (SM8250) Processor</li>","<div class=""_30jeq3 _1_WHN1"">₹46,999</div>"
10,"ASUS ROG Phone 5 (White, 256 GB)","<li class=""rgWa7D"">12 GB RAM | 256 GB ROM</li>","<li class=""rgWa7D"">Qualcomm Snapdragon 888 (SM8350) Processor</li>","<div class=""_30jeq3 _1_WHN1"">₹57,999</div>"
11,"ASUS ROG Phone 5 Ultimate (White, 512 GB)","<li class=""rgWa7D"">18 GB RAM | 512 GB ROM</li>","<li class=""rgWa7D"">Qualcomm Snapdragon 888 (SM8350) Processor</li>","<div class=""_30jeq3 _1_WHN1"">₹79,999</div>"
12,"ASUS ROG 5s Pro (Phantom Black, 512 GB)","<li class=""rgWa7D"">18 GB RAM | 512 GB ROM</li>","<li class=""rgWa7D"">Qualcomm Snapdragon 888 Plus (SM8350) Processor</li>","<div class=""_30jeq3 _1_WHN1"">₹79,999</div>"
13,"ASUS ROG 5s (Storm White, 256 GB)","<li class=""rgWa7D"">12 GB RAM | 256 GB ROM</li>","<li class=""rgWa7D"">Qualcomm Snapdragon 888 Plus (SM8350) Processor</li>","<div class=""_30jeq3 _1_WHN1"">₹57,999</div>"
14,"ASUS ROG Phone 5 (White, 128 GB)","<li class=""rgWa7D"">8 GB RAM | 128 GB ROM</li>","<li class=""rgWa7D"">Qualcomm Snapdragon 888 (SM8350) Processor</li>","<div class=""_30jeq3 _1_WHN1"">₹49,999</div>"
15,"ASUS ROG Phone 5 (Black, 128 GB)","<li class=""rgWa7D"">8 GB RAM | 128 GB ROM</li>","<li class=""rgWa7D"">Qualcomm Snapdragon 888 (SM8350) Processor</li>","<div class=""_30jeq3 _1_WHN1"">₹49,999</div>"
